sagoNo,sido,sigungu,sagoReason,sagoDate,dong,addr,sagoLat,sagoLon,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,full_addr,lon,lat,geo_query,geo_method,geo_level,x_5187,y_5187
20180195,부산광역시,사하구,하수관 손상,20180701,,반도보라아파트 102동 앞 ,0E-10,0E-10,1.50,3.00,1.50,,하수관 손상,0,0,0,복구완료,반도보라 측에서 하수관보수 및 포장복구 완료,0,20180702,20181231,반도보라아파트 102동 앞,128.97860489281157,35.1375226791403,부산광역시 사하구 반도보라아파트 102,keyword,번지,198050.15,282352.11
20180203,부산광역시,동래구,기타,20180711,,번영로 서울방향 원동IC 300m 지난지점 1차로,0E-10,0E-10,3.50,3.50,3.60,,기타,0,0,0,복구완료,"응급복구 완료(2018.7.11)
지반침하위험도평가 완료(2018.12.11)
도로 함몰부 항구복구 추진(2019년 이후)",0,20180711,20180630,번영로 서울방향 원동IC 300m 지난지점 1차로,129.083719021169,35.2050915314732,부산광역시 동래구,address,도로/동,207623.44,289851.45
20180211,부산광역시,연제구,다짐(되메우기) 불량,20180716,,중앙대로1028,0E-10,0E-10,1.00,1.00,0.50,,다짐(되메우기) 불량,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,20180716,20190630,중앙대로1028,129.077435631797,35.1802102660518,부산광역시 연제구 중앙대로1028,address,번지,207053.42,287090.56
20180217,부산광역시,수영구,기타,20180719,,광안해변로277번길 3 앞,0E-10,0E-10,0.70,0.80,1.00,,기타,0,0,0,복구완료,침하부분 되메우기 및 포장 복구 완료,0,20180719,20181231,광안해변로277번길 3 앞,129.121770613644,35.1551869852172,부산광역시 수영구 광안해변로,address,번지,211095.19,284318.43
20180218,부산광역시,연제구,다짐(되메우기) 불량,20180720,,월드컵대로 233,0E-10,0E-10,1.00,1.00,1.50,,다짐(되메우기) 불량,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,20180720,20190630,월드컵대로 233,129.071430579451,35.1894170896488,부산광역시 연제구 월드컵대로 233,address,번지,206505.71,288111.59
20180220,부산광역시,북구,다짐(되메우기) 불량,20180723,화명동,941-1번지 일원 지하철 2호선 상부도로,0E-10,0E-10,5.00,1.50,1.70,,다짐(되메우기) 불량,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,20180724,20180630,화명동 941-1번지 일원 지하철 2호선 상부도로,129.009029921406,35.2229958619963,부산광역시 북구 화명동 941-1,address,번지,200822.08,291834.66
20180225,부산광역시,남구,기타,20180726,,석포로 64번길 69-1일원,0E-10,0E-10,2.00,2.00,0.50,,기타,0,0,0,복구완료,원인조사 및 복구완료,0,20180728,20180630,석포로 64번길 69-1일원,129.087577243636,35.1235910970804,부산광역시 남구 석포로 64,address,번지,207982.73,280809.8
20180229,부산광역시,북구,하수관 손상,20180802,덕천동,814-1 덕천동 기비골 아파트 내 삼거리도로,0E-10,0E-10,1.00,1.00,0.30,,하수관 손상,0,0,0,복구완료,도로함몰 장소 굴착부분 되메우기 재시공 및 포장 복구 완료,0,20180811,20181231,덕천동 814-1 덕천동 기비골 아파트 내 삼거리도로,129.020633524986,35.2174156978811,부산광역시 북구 덕천동 814-1,address,번지,201878.6,291215.73
20180230,부산광역시,부산진구,굴착공사 부실,20180806,,"서전로 35 , 서전로 41",0E-10,0E-10,2.00,1.20,1.00,,굴착공사 부실,0,0,0,복구완료,도로계획과 지반탐사 요청결과 공동 미존재,0,20180807,20180630,"서전로 35 , 서전로 41",129.063546059012,35.157910057708,부산광역시 부산진구 서전로 35,address,번지,205789.84,284615.59
20180244,부산광역시,연제구,상수관 손상,20180821,,월드컵대로 21,0E-10,0E-10,1.00,1.00,1.00,,상수관 손상,0,0,0,복구완료,상수관 누수 구간 정비 후 복구 완료,0,20180821,20190630,월드컵대로 21,129.085439791267,35.1765258048493,부산광역시 연제구 월드컵대로 21,address,번지,207782.86,286682.39
