지점번호,연도,시간행수,기대시간수,행누락시간,강수결측시간,실제결측시간,실제결측률,유효시간비율,연강수합(mm),시간당30mm이상횟수,최대시간강수(mm),비고
941,2024,8784,8784,0,14,14,0.16,99.84,1614.0,3,70.0,
941,2025,8755,8760,5,16,21,0.24,99.76,1106.0,2,44.5,
942,2018,8743,8760,17,5,22,0.25,99.75,1806.5,2,41.0,
942,2019,8735,8760,25,30,55,0.63,99.37,1657.5,1,35.5,
942,2020,8770,8784,14,80,94,1.07,98.93,2270.0,7,72.5,
942,2021,8752,8760,8,41,49,0.56,99.44,1742.0,4,63.0,
942,2022,8692,8760,68,37,105,1.2,98.8,993.0,1,37.0,
942,2023,8760,8760,0,105,105,1.2,98.8,1949.5,4,56.0,
942,2024,8774,8784,10,92,102,1.16,98.84,1880.0,5,74.5,
942,2025,8757,8760,3,78,81,0.92,99.08,1175.5,3,39.5,
950,2018,8706,8760,54,59,113,1.29,98.71,1672.0,2,36.0,
950,2019,8752,8760,8,57,65,0.74,99.26,1510.0,0,28.0,
950,2020,8728,8784,56,59,115,1.31,98.69,2204.0,7,60.5,
950,2021,8723,8760,37,72,109,1.24,98.76,1692.5,4,55.0,
950,2022,8544,8760,216,128,344,3.93,96.07,977.5,2,30.5,
950,2023,8438,8760,322,91,413,4.71,95.29,1923.0,4,41.0,
950,2024,8758,8784,26,103,129,1.47,98.53,2038.5,8,100.0,
950,2025,8634,8760,126,65,191,2.18,97.82,1220.0,5,57.0,
968,2018,8741,8760,19,4,23,0.26,99.74,1492.5,1,34.0,
968,2019,8760,8760,0,30,30,0.34,99.66,1264.0,0,21.5,
968,2020,721,721,0,0,0,0.0,100.0,11.5,0,1.0,폐지
969,2018,8743,8760,17,23,40,0.46,99.54,1451.0,1,32.5,
969,2019,8699,8760,61,78,139,1.59,98.41,1184.0,1,30.0,
969,2020,4944,4993,49,28,77,1.54,98.46,1222.0,5,76.0,폐지
